sensor_type,device_type,timestamps,x,y,z
accelerometer,smartphone,1.6863375819993838e+18,-4.7762677,4.610262909,6.055956573
accelerometer,smartphone,1.686337582200492e+18,-1.749561768,2.116149445,8.7814888
accelerometer,smartphone,1.686337582401603e+18,-2.272723846,3.331472168,5.800886993
accelerometer,smartphone,1.686337582602711e+18,2.022743683,2.968027954,7.731721802
accelerometer,smartphone,1.686337582803821e+18,2.007475433,2.111509094,9.884245605
accelerometer,smartphone,1.686337583004927e+18,1.822909241,3.255430298,10.3369043
accelerometer,smartphone,1.686337583206037e+18,2.236199799,3.410058746,10.93550949
accelerometer,smartphone,1.686337583407146e+18,0.2112107849,2.455793152,7.8418927
accelerometer,smartphone,1.686337583608256e+18,2.002835083,2.973716125,11.03041214
accelerometer,smartphone,1.686337583809365e+18,2.728526001,4.018543396,8.125253448
accelerometer,smartphone,1.686337584010474e+18,1.46500351,2.560724945,6.35234024
accelerometer,smartphone,1.686337584211582e+18,2.723286896,3.5898349,10.44288391
accelerometer,smartphone,1.686337584412694e+18,2.653531952,0.3682342529,7.480993195
accelerometer,smartphone,1.686337584613801e+18,2.26763443,1.4438974,12.61142441
accelerometer,smartphone,1.686337584814912e+18,8.74990448,-0.6087840271,4.240681458
accelerometer,smartphone,1.686337585016021e+18,4.15026947,-3.326831818,-2.501298523
accelerometer,smartphone,1.68633758521713e+18,13.81207764,3.187770996,-5.678890686
accelerometer,smartphone,1.686337585343194e+18,-5.345683594,4.629722443,6.370751953
accelerometer,smartphone,1.6863375855442929e+18,-2.799927521,5.668412476,7.392377472
accelerometer,smartphone,1.686337585745394e+18,-4.300407257,5.088518372,6.496789856
accelerometer,smartphone,1.686337585946493e+18,1.197210388,4.105213165,8.973988495
accelerometer,smartphone,1.686337586147594e+18,1.808239746,4.469405823,9.917177124
accelerometer,smartphone,1.686337586348693e+18,0.9397457886,3.473676453,7.414980469
accelerometer,smartphone,1.686337586549794e+18,-0.9318122864,2.837349701,10.12240036
accelerometer,smartphone,1.686337586750894e+18,-0.3004252625,3.548071747,8.902137909
accelerometer,smartphone,1.686337586951995e+18,-0.5971083069,2.583777008,7.995323639
accelerometer,smartphone,1.686337587153094e+18,-2.321522369,3.729793854,10.51683014
accelerometer,smartphone,1.6863375873541952e+18,-2.188898163,4.579427032,8.366851044
accelerometer,smartphone,1.686337587555295e+18,-1.85464325,4.134402466,8.627908173
accelerometer,smartphone,1.686337587756397e+18,-0.9295669556,4.24157959,6.670728149
accelerometer,smartphone,1.686337587957495e+18,2.493065643,6.069877625,8.578061829
