sensor_type,device_type,timestamps,x,y,z
gyroscope,smartphone,1.686337582108628e+18,-0.5717464685,-0.8100206852,0.6440156698
gyroscope,smartphone,1.686337582307255e+18,0.7311863303,1.535770297,2.354369402
gyroscope,smartphone,1.686337582505882e+18,0.6466393471,-1.791566968,-0.1133027747
gyroscope,smartphone,1.6863375827045082e+18,0.1326306909,-1.183011293,-0.1903246194
gyroscope,smartphone,1.686337582903132e+18,0.1801145077,0.02735499106,-0.1002727225
gyroscope,smartphone,1.686337583101758e+18,-0.002718287287,0.2349005342,-0.1448733807
gyroscope,smartphone,1.686337583300385e+18,-0.2331137359,0.01930400357,0.07544101775
gyroscope,smartphone,1.686337583499011e+18,0.204424113,-0.1131123751,0.2543151975
gyroscope,smartphone,1.686337583697638e+18,0.04974658042,0.5537325144,0.2214787006
gyroscope,smartphone,1.686337583896265e+18,-0.1369502544,0.4343543351,-0.1023052931
gyroscope,smartphone,1.686337584094891e+18,0.160609588,-0.3202317059,-0.1309177428
gyroscope,smartphone,1.686337584293518e+18,-0.4897837043,0.2770551443,0.2786587775
gyroscope,smartphone,1.686337584492144e+18,-0.1571828276,-0.3390618861,0.5262361765
gyroscope,smartphone,1.68633758469077e+18,0.08486174792,-0.6574677825,0.283780545
gyroscope,smartphone,1.686337584889396e+18,-1.246317863,-7.608535767,-2.897959471
gyroscope,smartphone,1.6863375850880238e+18,0.4336157441,-1.721137762,2.0770154
gyroscope,smartphone,1.686337585286649e+18,0.9595987797,-0.6149959564,-0.7962118387
gyroscope,smartphone,1.686337585499605e+18,0.1276168823,-0.2308552563,0.2735725045
gyroscope,smartphone,1.6863375856982218e+18,0.1101444289,-0.251250267,0.2082472891
gyroscope,smartphone,1.686337585896839e+18,-2.396178722,-2.069801569,-0.270817697
gyroscope,smartphone,1.686337586095457e+18,0.1132102534,0.2701734006,-0.06571570039
gyroscope,smartphone,1.686337586294074e+18,0.5890360475,0.106420286,-0.2321607918
gyroscope,smartphone,1.686337586492691e+18,-0.004172367044,0.765681088,-0.1236537918
gyroscope,smartphone,1.686337586691308e+18,-0.09814733267,0.2576945722,0.040316239
gyroscope,smartphone,1.686337586889926e+18,0.7561450601,0.1595759392,-0.09800925851
gyroscope,smartphone,1.686337587088543e+18,-0.9716667533,-0.09566353261,0.07764388621
gyroscope,smartphone,1.686337587287162e+18,0.5764583349,0.9649447799,-0.04054743424
gyroscope,smartphone,1.6863375874857782e+18,0.3690031469,-0.02167443559,0.6754691601
gyroscope,smartphone,1.686337587684397e+18,0.08254680037,-0.4178602993,0.7071426511
gyroscope,smartphone,1.686337587883015e+18,0.565854609,-0.3086872101,0.5006421208
gyroscope,smartphone,1.686337588081631e+18,-0.7262548804,-0.8505849838,-0.4665742517
gyroscope,smartphone,1.686337588280249e+18,0.7095686793,-0.2925077081,-0.5209860206
gyroscope,smartphone,1.686337588478867e+18,-1.109523654,4.942951202,-0.4187500179
gyroscope,smartphone,1.686337588677484e+18,-0.07849407941,1.523986101,0.17864573
gyroscope,smartphone,1.686337588876102e+18,0.4419646263,1.746625662,0.4807612896
gyroscope,smartphone,1.68633758907472e+18,1.584110379,-0.9990701079,0.4367445409
gyroscope,smartphone,1.686337589273338e+18,0.9826602936,-0.561444819,-0.1168927178
gyroscope,smartphone,1.686337589471956e+18,-0.2761713564,-0.6969488859,0.1597677916
gyroscope,smartphone,1.6863375896705738e+18,-0.9904004931,1.58916533,0.1195864975
gyroscope,smartphone,1.686337589869192e+18,-1.547399402,0.6974111795,0.7030867934
gyroscope,smartphone,1.68633759006781e+18,1.722956777,-1.083630919,0.3670555651
gyroscope,smartphone,1.686337590266429e+18,0.7957422733,-1.311776161,0.1852531582
gyroscope,smartphone,1.6863375904650468e+18,-1.262734652,0.9504093528,-1.379584789
gyroscope,smartphone,1.6863375906636652e+18,-1.178121567,1.762327909,-0.6858757138
gyroscope,smartphone,1.686337590862283e+18,-0.7194069624,-0.07332206517,0.6599012017
gyroscope,smartphone,1.6863375910609009e+18,2.147919893,-1.018748164,0.6414343715
gyroscope,smartphone,1.686337591259518e+18,0.7380824089,-1.730464816,0.4924113154
gyroscope,smartphone,1.686337591458136e+18,-3.074844837,-0.5879225731,-0.1357354671
gyroscope,smartphone,1.686337591656754e+18,-0.8507242203,-0.8571636081,1.318957925
gyroscope,smartphone,1.6863375918553728e+18,0.5935226679,0.1696837097,0.9992695451
gyroscope,smartphone,1.6863375920539912e+18,-1.296462059,0.1478150934,-0.547191143
gyroscope,smartphone,1.686337592252609e+18,0.1820929646,-0.1432344913,-1.044336438
gyroscope,smartphone,1.686337592451227e+18,-0.7654041052,1.080730677,0.1007855907
gyroscope,smartphone,1.686337592649846e+18,1.00437355,-0.2206314951,0.04372591898
gyroscope,smartphone,1.686337592848464e+18,2.125378132,-0.1110063791,-0.7060445547
gyroscope,smartphone,1.686337593047082e+18,-0.5478506088,1.732319593,-0.2090787739
gyroscope,smartphone,1.686337593245701e+18,1.013665318,-0.2431268245,-0.970687449
gyroscope,smartphone,1.686337593444319e+18,0.1023941338,1.246377707,0.08022288978
gyroscope,smartphone,1.6863375936429368e+18,-0.2793847024,0.7239694595,0.8107357621
gyroscope,smartphone,1.686337593841556e+18,-0.3953380883,0.5724414587,1.388551354
gyroscope,smartphone,1.686337594040174e+18,0.6665557623,-0.3921665847,-1.047800183
gyroscope,smartphone,1.686337594238793e+18,1.596551418,-0.8551644087,-1.049386859
gyroscope,smartphone,1.686337594437412e+18,-0.3675239086,1.993442059,0.9790399671
gyroscope,smartphone,1.68633759463603e+18,-0.5205032825,0.3776546717,0.1465037018
gyroscope,smartphone,1.686337594834649e+18,-0.298301369,0.1768723279,1.324609876
gyroscope,smartphone,1.686337595033267e+18,1.135871887,-0.9288747907,-1.068512082
gyroscope,smartphone,1.6863375952318858e+18,1.746842623,-0.7280060053,-0.8694241047
gyroscope,smartphone,1.686337595430505e+18,-1.719961643,1.090104103,0.4861680865
