sensor_type,device_type,timestamps,x,y,z
magnetometer,smartphone,1.686337582108628e+18,21.60090637,-9.476249695,-51.91389465
magnetometer,smartphone,1.686337582307255e+18,7.859649658,4.376665115,-67.64285278
magnetometer,smartphone,1.686337582505882e+18,-3.149658203,-20.37324333,-72.5956955
magnetometer,smartphone,1.6863375827045082e+18,-5.405456543,-25.08537865,-72.2183075
magnetometer,smartphone,1.686337582903132e+18,-16.05279541,-20.22194481,-72.59933472
magnetometer,smartphone,1.686337583101758e+18,-26.49821472,-27.00677681,-69.87103271
magnetometer,smartphone,1.686337583300385e+18,-17.35107422,-19.303442,-66.39484406
magnetometer,smartphone,1.686337583499011e+18,-17.09947205,-13.95046806,-55.79570007
magnetometer,smartphone,1.686337583697638e+18,-28.94229126,-11.71700096,-57.1926651
magnetometer,smartphone,1.686337583896265e+18,-24.79231262,-14.7066555,-62.96328354
magnetometer,smartphone,1.686337584094891e+18,-25.39335632,-13.4791584,-58.78272247
magnetometer,smartphone,1.686337584293518e+18,-39.97257996,-16.11415291,-62.8061142
magnetometer,smartphone,1.686337584492144e+18,-32.57751465,-9.528831482,-49.96775436
magnetometer,smartphone,1.68633758469077e+18,-57.02339172,-26.53114128,-33.4590683
magnetometer,smartphone,1.686337584889396e+18,-39.08537292,-16.37224388,-39.14751816
magnetometer,smartphone,1.6863375850880238e+18,-60.5605011,8.596273422,-4.033906937
magnetometer,smartphone,1.686337585286649e+18,-54.32818604,10.05763721,-19.06342506
magnetometer,smartphone,1.686337585499605e+18,26.77116394,-37.62973785,-49.46896362
magnetometer,smartphone,1.6863375856982218e+18,23.25744629,-39.74136353,-55.8458252
magnetometer,smartphone,1.686337585896839e+18,-13.75770569,-28.04416466,-72.18330383
magnetometer,smartphone,1.686337586095457e+18,-4.971496582,-26.56289482,-75.87932587
magnetometer,smartphone,1.686337586294074e+18,-5.921905518,-27.67152596,-70.51429749
magnetometer,smartphone,1.686337586492691e+18,1.200073242,-26.4168644,-69.05909729
magnetometer,smartphone,1.686337586691308e+18,6.997360229,-25.18474388,-69.26155853
magnetometer,smartphone,1.686337586889926e+18,11.43217468,-28.74254036,-68.55413055
magnetometer,smartphone,1.686337587088543e+18,7.79246521,-33.6266861,-65.7721405
magnetometer,smartphone,1.686337587287162e+18,13.51383972,-28.20528221,-66.15890503
magnetometer,smartphone,1.6863375874857782e+18,24.4881897,-36.42549133,-61.53501129
magnetometer,smartphone,1.686337587684397e+18,19.18136597,-38.30741882,-64.08772278
magnetometer,smartphone,1.686337587883015e+18,0.8116912842,-46.19843292,-59.40301514
magnetometer,smartphone,1.686337588081631e+18,1.382858276,-40.78473663,-65.39591217
magnetometer,smartphone,1.686337588280249e+18,-1.683120728,-38.14668274,-67.10658264
magnetometer,smartphone,1.686337588478867e+18,10.48855591,-32.55982971,-69.91854095
magnetometer,smartphone,1.686337588677484e+18,48.46757507,-22.49843025,-95.5592041
magnetometer,smartphone,1.686337588876102e+18,70.77127075,-6.081090927,-34.15396118
magnetometer,smartphone,1.68633758907472e+18,103.0917053,10.4903307,-29.13674545
magnetometer,smartphone,1.686337589273338e+18,69.46252441,-55.03033447,-44.71685028
magnetometer,smartphone,1.686337589471956e+18,36.49061584,-57.18415833,-39.33662033
magnetometer,smartphone,1.6863375896705738e+18,55.48199463,-23.99162483,-42.09582901
magnetometer,smartphone,1.686337589869192e+18,61.77633667,-12.0040226,-25.47710609
magnetometer,smartphone,1.68633759006781e+18,74.1960144,-17.11463356,-26.93566513
magnetometer,smartphone,1.686337590266429e+18,60.25230408,-55.37146759,-36.80342865
magnetometer,smartphone,1.6863375904650468e+18,47.54920959,-58.57930756,-49.79474258
magnetometer,smartphone,1.6863375906636652e+18,66.23693848,-17.22441673,-26.4380188
magnetometer,smartphone,1.686337590862283e+18,63.21983337,-6.348630905,-11.32915115
magnetometer,smartphone,1.6863375910609009e+18,75.4269104,-17.35283089,-17.58808327
magnetometer,smartphone,1.686337591259518e+18,62.41693115,-49.67992401,-17.7839489
magnetometer,smartphone,1.686337591458136e+18,37.447052,-56.14649963,-34.41856766
magnetometer,smartphone,1.686337591656754e+18,20.13098145,-11.40984154,-80.43147278
magnetometer,smartphone,1.6863375918553728e+18,13.17044067,-22.30212593,-84.00704956
magnetometer,smartphone,1.6863375920539912e+18,18.58274841,-23.66755104,-96.72140503
magnetometer,smartphone,1.686337592252609e+18,7.997131348,-18.6238575,-89.3968811
magnetometer,smartphone,1.686337592451227e+18,-4.791168213,-13.06847954,-77.35303497
magnetometer,smartphone,1.686337592649846e+18,8.183273315,-6.192564011,-79.06064606
magnetometer,smartphone,1.686337592848464e+18,10.09469604,-22.73817635,-78.51306152
magnetometer,smartphone,1.686337593047082e+18,51.82267761,0.07367324829,-97.73320007
magnetometer,smartphone,1.686337593245701e+18,34.30903625,-13.07453728,-81.59603882
magnetometer,smartphone,1.686337593444319e+18,8.814239502,-32.86690521,-74.25852966
magnetometer,smartphone,1.6863375936429368e+18,21.14242554,-13.44645882,-76.60099792
magnetometer,smartphone,1.686337593841556e+18,36.11445618,-0.7034568787,-60.22306061
magnetometer,smartphone,1.686337594040174e+18,54.32830811,8.27663517,-51.13776779
magnetometer,smartphone,1.686337594238793e+18,36.80781555,-20.61750984,-75.36748505
magnetometer,smartphone,1.686337594437412e+18,23.94839478,-43.70236969,-80.17224884
magnetometer,smartphone,1.68633759463603e+18,27.39205933,-7.754789352,-84.45930481
magnetometer,smartphone,1.686337594834649e+18,41.70509338,1.403795242,-74.38654327
